ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2020-06-04T04:48:36.000,5.32,45.98,8.94
2020-06-04T05:03:36.000,5.47,47.37,9.01
2020-06-04T05:18:36.000,5.86,50.86,9.11
2020-06-04T05:33:36.000,6.06,52.62,9.18
2020-06-04T05:48:36.000,6.12,53.20,9.21
2020-06-04T06:03:36.000,6.03,52.35,9.18
2020-06-04T06:18:36.000,5.81,50.39,9.14
2020-06-04T06:33:36.000,5.63,48.80,9.04
2020-06-04T06:48:36.000,5.32,45.91,8.93
2020-06-04T07:03:36.000,5.18,44.66,8.88
2020-06-04T07:18:36.000,5.21,44.98,8.89
2020-06-04T07:33:36.000,5.36,46.28,8.94
2020-06-04T07:48:36.000,5.32,45.93,8.93
2020-06-04T08:03:36.000,5.27,45.53,8.92
2020-06-04T08:18:36.000,5.49,47.44,8.97
2020-06-04T08:33:36.000,5.47,47.28,8.97
2020-06-04T08:48:36.000,5.58,48.31,9.02
2020-06-04T09:03:36.000,5.66,49.02,9.04
2020-06-04T09:18:36.000,5.11,44.08,8.88
2020-06-04T09:33:36.000,4.87,41.89,8.78
2020-06-04T09:48:36.000,4.78,41.07,8.73
2020-06-04T10:03:36.000,4.71,40.46,8.71
2020-06-04T10:18:36.000,4.63,39.79,8.69
2020-06-04T10:33:36.000,4.59,39.37,8.68
2020-06-04T10:48:36.000,4.55,39.04,8.67
2020-06-04T11:03:36.000,4.57,39.19,8.68
2020-06-04T11:18:36.000,4.57,39.24,8.69
2020-06-04T11:33:36.000,4.62,39.69,8.71
2020-06-04T11:48:36.000,4.70,40.42,8.74
2020-06-04T12:03:36.000,4.81,41.40,8.78
2020-06-04T12:18:36.000,4.93,42.46,8.83
2020-06-04T12:33:36.000,5.12,44.14,8.88
2020-06-04T12:48:36.000,5.21,45.05,8.95
2020-06-04T13:03:36.000,5.51,47.71,9.03
2020-06-04T13:18:36.000,6.00,52.14,9.16
2020-06-04T13:33:36.000,6.33,55.08,9.25
2020-06-04T13:48:36.000,6.57,57.22,9.31
2020-06-04T14:03:36.000,6.79,59.29,9.40
2020-06-04T14:18:36.000,6.91,60.48,9.47
2020-06-04T14:33:36.000,7.03,61.60,9.51
2020-06-04T14:48:36.000,7.18,62.97,9.56
2020-06-04T15:03:36.000,7.52,66.18,9.69
2020-06-04T15:18:36.000,6.81,59.57,9.47
2020-06-04T15:33:36.000,7.03,61.49,9.49
