ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2020-05-26T15:57:24.000,8.13,72.98,10.58
2020-05-26T16:12:24.000,8.16,73.22,10.55
2020-05-26T16:27:24.000,8.18,73.44,10.55
2020-05-26T16:42:24.000,8.23,73.93,10.58
2020-05-26T16:57:24.000,8.33,74.84,10.62
2020-05-26T17:12:24.000,8.36,75.20,10.64
2020-05-26T17:27:24.000,8.39,75.52,10.65
2020-05-26T17:42:24.000,8.39,75.44,10.65
2020-05-26T17:57:24.000,8.35,75.06,10.63
2020-05-26T18:12:24.000,8.07,72.31,10.51
2020-05-26T18:27:24.000,7.94,71.01,10.41
2020-05-26T18:42:24.000,7.90,70.60,10.38
2020-05-26T18:57:24.000,7.89,70.48,10.36
2020-05-26T19:12:24.000,7.78,69.43,10.31
2020-05-26T19:27:24.000,7.80,69.58,10.31
2020-05-26T19:42:24.000,7.43,65.92,10.08
2020-05-26T19:57:24.000,7.34,65.09,10.03
2020-05-26T20:12:24.000,7.37,65.34,10.06
2020-05-26T20:27:24.000,7.38,65.52,10.08
2020-05-26T20:42:24.000,7.28,64.51,10.01
2020-05-26T20:57:24.000,7.37,65.37,10.06
2020-05-26T21:12:24.000,7.42,65.93,10.11
2020-05-26T21:27:24.000,7.56,67.33,10.20
2020-05-26T21:42:24.000,7.76,69.22,10.31
2020-05-26T21:57:24.000,7.98,71.45,10.48
2020-05-26T22:12:24.000,8.31,74.78,10.69
2020-05-26T22:27:24.000,8.62,78.06,10.92
2020-05-26T22:42:24.000,8.77,79.66,11.06
2020-05-26T22:57:24.000,8.94,81.46,11.22
2020-05-26T23:12:24.000,8.94,81.50,11.24
2020-05-26T23:27:24.000,8.94,81.53,11.26
2020-05-26T23:42:24.000,8.97,81.86,11.29
2020-05-26T23:57:24.000,8.96,81.76,11.29
2020-05-27T00:12:24.000,8.94,81.65,11.29
2020-05-27T00:27:24.000,8.93,81.49,11.29
2020-05-27T00:42:24.000,9.01,82.32,11.34
2020-05-27T00:57:24.000,8.93,81.36,11.20
2020-05-27T01:12:24.000,8.54,77.27,10.92
2020-05-27T01:27:24.000,8.01,71.87,10.52
2020-05-27T01:42:24.000,7.58,67.46,10.22
2020-05-27T01:57:24.000,7.30,64.76,10.06
2020-05-27T02:12:24.000,7.05,62.31,9.88
2020-05-27T02:27:24.000,6.96,61.37,9.80
2020-05-27T02:42:24.000,6.89,60.65,9.70
2020-05-27T02:57:24.000,6.83,59.97,9.66
2020-05-27T03:12:24.000,6.72,58.91,9.58
2020-05-27T03:27:24.000,6.49,56.71,9.44
2020-05-27T03:42:24.000,6.41,56.02,9.40
2020-05-27T03:57:24.000,6.42,56.06,9.41
2020-05-27T04:12:24.000,6.44,56.25,9.42
2020-05-27T04:27:24.000,6.42,56.07,9.40
2020-05-27T04:42:24.000,6.27,54.64,9.31
2020-05-27T04:57:24.000,6.22,54.16,9.28
2020-05-27T05:12:24.000,6.23,54.22,9.28
2020-05-27T05:27:24.000,6.20,53.95,9.26
2020-05-27T05:42:24.000,6.16,53.58,9.23
