ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2020-06-04T03:59:26.000,7.77,68.78,9.98
2020-06-04T04:14:26.000,7.78,68.84,9.96
2020-06-04T04:29:26.000,7.66,67.75,9.91
2020-06-04T04:44:26.000,7.44,65.66,9.81
2020-06-04T04:59:26.000,7.14,62.79,9.68
2020-06-04T05:14:26.000,7.24,63.74,9.73
2020-06-04T05:29:26.000,7.28,64.10,9.75
2020-06-04T05:44:26.000,6.65,58.16,9.47
2020-06-04T05:59:26.000,7.08,62.19,9.66
2020-06-04T06:14:26.000,7.81,69.11,9.96
2020-06-04T06:29:26.000,7.84,69.41,9.99
2020-06-04T06:44:26.000,7.64,67.53,9.92
2020-06-04T06:59:26.000,8.06,71.46,10.03
2020-06-04T07:14:26.000,9.89,88.42,10.38
2020-06-04T07:29:26.000,9.08,81.15,10.36
2020-06-04T07:44:26.000,8.44,75.10,10.21
2020-06-04T07:59:26.000,8.48,75.43,10.20
2020-06-04T08:14:26.000,8.63,76.85,10.22
2020-06-04T08:29:26.000,9.10,81.26,10.34
2020-06-04T08:44:26.000,8.63,76.88,10.22
2020-06-04T08:59:26.000,8.62,76.68,10.17
2020-06-04T09:14:26.000,8.05,71.33,9.99
2020-06-04T09:29:26.000,8.77,77.98,10.15
2020-06-04T09:44:26.000,9.18,81.75,10.22
2020-06-04T09:59:26.000,6.96,61.22,9.68
2020-06-04T10:14:26.000,7.62,67.25,9.82
2020-06-04T10:29:26.000,9.28,82.69,10.24
2020-06-04T10:44:26.000,9.73,86.78,10.28
2020-06-04T10:59:26.000,6.41,56.12,9.49
2020-06-04T11:14:26.000,5.43,47.03,9.04
2020-06-04T11:29:26.000,5.76,49.98,9.11
2020-06-04T11:44:26.000,6.97,61.08,9.56
2020-06-04T11:59:26.000,9.73,86.51,10.17
2020-06-04T12:14:26.000,10.12,90.28,10.32
2020-06-04T12:29:26.000,10.26,91.59,10.31
2020-06-04T12:44:26.000,10.13,90.28,10.25
2020-06-04T12:59:26.000,9.87,87.71,10.15
2020-06-04T13:14:26.000,9.48,84.12,10.06
2020-06-04T13:29:26.000,9.85,87.43,10.06
2020-06-04T13:44:26.000,9.38,83.12,10.03
2020-06-04T13:59:26.000,9.14,80.93,9.99
2020-06-04T14:14:26.000,9.32,82.62,10.03
2020-06-04T14:29:26.000,9.26,82.12,10.06
2020-06-04T14:44:26.000,9.13,81.03,10.08
2020-06-04T14:59:26.000,8.85,78.52,10.06
2020-06-04T15:14:26.000,8.84,78.49,10.08
2020-06-04T15:29:26.000,8.97,79.67,10.13
2020-06-04T15:44:26.000,9.02,80.22,10.15
2020-06-04T15:59:26.000,9.48,84.90,10.47
2020-06-04T16:14:26.000,9.94,90.04,10.94
2020-06-04T16:29:26.000,9.91,89.77,10.97
2020-06-04T16:44:26.000,9.76,88.16,10.85
2020-06-04T16:59:26.000,9.79,88.49,10.87
2020-06-04T17:14:26.000,9.78,88.41,10.85
2020-06-04T17:29:26.000,9.97,90.50,11.06
2020-06-04T17:44:26.000,10.24,93.63,11.34
2020-06-04T17:59:26.000,10.47,96.27,11.59
2020-06-04T18:14:26.000,10.47,96.38,11.66
2020-06-04T18:29:26.000,10.60,97.82,11.78
2020-06-04T18:44:26.000,10.65,98.46,11.82
2020-06-04T18:59:26.000,10.78,99.80,11.89
2020-06-04T19:14:26.000,10.73,99.34,11.88
2020-06-04T19:29:26.000,10.12,93.33,11.73
2020-06-04T19:44:26.000,7.52,67.15,10.32
2020-06-04T19:59:26.000,6.74,59.20,9.66
2020-06-04T20:14:26.000,7.22,63.63,9.78
2020-06-04T20:29:26.000,6.49,56.73,9.42
2020-06-04T20:44:26.000,6.28,54.72,9.33
2020-06-04T20:59:26.000,6.33,55.21,9.35
2020-06-04T21:14:26.000,7.83,69.17,9.85
2020-06-04T21:29:26.000,7.88,69.60,9.87
2020-06-04T21:44:26.000,7.82,69.06,9.84
2020-06-04T21:59:26.000,7.59,66.89,9.77
2020-06-04T22:14:26.000,7.58,66.79,9.77
2020-06-04T22:29:26.000,7.54,66.48,9.77
2020-06-04T22:44:26.000,7.96,70.35,9.92
2020-06-04T22:59:26.000,7.49,65.92,9.75
2020-06-04T23:14:26.000,7.99,70.61,9.91
2020-06-04T23:29:26.000,7.33,64.42,9.68
2020-06-04T23:44:26.000,7.13,62.61,9.61
2020-06-04T23:59:26.000,7.21,63.31,9.61
2020-06-05T00:14:26.000,7.26,63.81,9.65
2020-06-05T00:29:26.000,7.23,63.53,9.64
2020-06-05T00:44:26.000,7.41,65.25,9.73
2020-06-05T00:59:26.000,7.71,68.02,9.83
2020-06-05T01:14:26.000,7.63,67.31,9.80
2020-06-05T01:29:26.000,7.52,66.22,9.76
2020-06-05T01:44:26.000,7.48,65.83,9.73
2020-06-05T01:59:26.000,8.06,71.31,9.93
2020-06-05T02:14:26.000,7.91,69.90,9.89
2020-06-05T02:29:26.000,7.88,69.66,9.89
2020-06-05T02:44:26.000,7.94,70.21,9.91
2020-06-05T02:59:26.000,8.13,72.04,9.99
2020-06-05T03:14:26.000,8.23,72.93,10.03
2020-06-05T03:29:26.000,8.00,70.79,9.94
2020-06-05T03:44:26.000,7.83,69.10,9.85
2020-06-05T03:59:26.000,7.58,66.76,9.75
2020-06-05T04:14:26.000,7.43,65.36,9.68
2020-06-05T04:29:26.000,7.19,63.06,9.59
2020-06-05T04:44:26.000,7.10,62.21,9.56
2020-06-05T04:59:26.000,7.10,62.25,9.54
