ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2020-05-27T12:00:38.000,9.33,90.34,13.93
2020-05-27T12:15:38.000,9.27,90.53,14.29
2020-05-27T12:30:38.000,9.25,90.51,14.38
2020-05-27T12:45:38.000,9.26,90.58,14.38
2020-05-27T13:00:38.000,9.23,90.65,14.54
2020-05-27T13:15:38.000,9.20,90.66,14.69
2020-05-27T13:30:38.000,10.59,99.80,12.67
2020-05-27T13:45:38.000,10.78,16.46,12.28
2020-05-27T14:00:38.000,10.84,16.41,12.23
2020-05-27T14:15:38.000,10.85,16.42,12.24
2020-05-27T14:30:38.000,10.90,16.46,12.25
2020-05-27T14:45:38.000,10.94,16.40,12.26
2020-05-27T15:00:38.000,11.00,16.46,12.25
2020-05-27T15:15:38.000,11.04,16.40,12.24
2020-05-27T15:30:38.000,11.04,16.49,12.23
2020-05-27T15:45:38.000,11.12,16.47,12.21
2020-05-27T16:00:38.000,11.16,16.40,12.21
2020-05-27T16:15:38.000,11.18,16.42,12.21
2020-05-27T16:30:38.000,11.20,16.43,12.21
2020-05-27T16:45:38.000,11.14,16.49,12.22
2020-05-27T17:00:38.000,11.09,16.43,12.22
2020-05-27T17:15:38.000,11.06,16.41,12.21
2020-05-27T17:30:38.000,11.01,16.46,12.20
2020-05-27T17:45:38.000,10.98,16.43,12.19
2020-05-27T18:00:38.000,10.92,16.47,12.17
2020-05-27T18:15:38.000,10.91,16.46,12.17
2020-05-27T18:30:38.000,10.91,16.45,12.15
2020-05-27T18:45:38.000,10.89,16.43,12.12
2020-05-27T19:00:38.000,10.95,16.48,12.10
2020-05-27T19:15:38.000,10.94,16.47,12.09
2020-05-27T19:30:38.000,10.94,16.47,12.08
2020-05-27T19:45:38.000,10.96,16.47,12.05
2020-05-27T20:00:38.000,10.93,16.44,12.03
2020-05-27T20:15:38.000,10.92,16.44,12.03
2020-05-27T20:30:38.000,10.92,16.44,12.03
2020-05-27T20:45:38.000,10.88,16.49,11.98
2020-05-27T21:00:38.000,10.85,16.45,11.94
2020-05-27T21:15:38.000,10.80,99.88,11.85
2020-05-27T21:30:38.000,10.77,99.48,11.80
2020-05-27T21:45:38.000,10.71,98.79,11.75
2020-05-27T22:00:38.000,10.69,98.51,11.70
2020-05-27T22:15:38.000,10.62,97.81,11.66
2020-05-27T22:30:38.000,10.62,97.69,11.64
2020-05-27T22:45:38.000,10.64,97.77,11.58
2020-05-27T23:00:38.000,10.60,97.33,11.55
2020-05-27T23:15:38.000,10.56,96.94,11.52
2020-05-27T23:30:38.000,10.54,96.78,11.52
2020-05-27T23:45:38.000,10.55,96.87,11.54
2020-05-28T00:00:38.000,10.55,96.91,11.54
2020-05-28T00:15:38.000,10.53,96.67,11.54
2020-05-28T00:30:38.000,10.52,96.61,11.54
2020-05-28T00:45:38.000,10.49,96.26,11.52
2020-05-28T01:00:38.000,10.46,95.93,11.50
2020-05-28T01:15:38.000,10.46,95.91,11.48
2020-05-28T01:30:38.000,10.45,95.82,11.48
2020-05-28T01:45:38.000,10.42,95.51,11.47
2020-05-28T02:00:38.000,10.41,95.44,11.45
2020-05-28T02:15:38.000,10.42,95.48,11.45
2020-05-28T02:30:38.000,10.41,95.36,11.44
2020-05-28T02:45:38.000,10.40,95.25,11.43
2020-05-28T03:00:38.000,10.42,95.36,11.41
2020-05-28T03:15:38.000,10.36,94.82,11.38
2020-05-28T03:30:38.000,10.34,94.53,11.36
2020-05-28T03:45:38.000,10.33,94.33,11.29
2020-05-28T04:00:38.000,10.30,94.00,11.27
2020-05-28T04:15:38.000,10.28,93.68,11.21
2020-05-28T04:30:38.000,10.27,93.56,11.19
2020-05-28T04:45:38.000,10.25,93.32,11.17
2020-05-28T05:00:38.000,10.22,93.05,11.15
2020-05-28T05:15:38.000,10.23,93.01,11.13
2020-05-28T05:30:38.000,10.16,92.40,11.11
2020-05-28T05:45:38.000,10.15,92.15,11.06
2020-05-28T06:00:38.000,10.09,91.53,11.03
2020-05-28T06:15:38.000,10.09,91.52,11.02
2020-05-28T06:30:38.000,10.08,91.43,11.02
2020-05-28T06:45:38.000,10.05,91.20,11.02
2020-05-28T07:00:38.000,10.07,91.37,11.04
2020-05-28T07:15:38.000,10.08,91.57,11.06
2020-05-28T07:30:38.000,10.11,91.89,11.09
2020-05-28T07:45:38.000,10.16,92.39,11.13
2020-05-28T08:00:38.000,10.20,92.87,11.15
2020-05-28T08:15:38.000,10.24,93.23,11.18
2020-05-28T08:30:38.000,10.21,92.98,11.20
2020-05-28T08:45:38.000,10.23,93.21,11.19
2020-05-28T09:00:38.000,10.19,92.83,11.18
2020-05-28T09:15:38.000,10.22,93.04,11.17
2020-05-28T09:30:38.000,10.26,93.42,11.16
2020-05-28T09:45:38.000,10.31,93.88,11.17
2020-05-28T10:00:38.000,10.43,95.01,11.20
2020-05-28T10:15:38.000,10.57,96.38,11.25
2020-05-28T10:30:38.000,10.65,97.15,11.27
2020-05-28T10:45:38.000,10.76,98.29,11.31
2020-05-28T11:00:38.000,10.90,99.66,11.35
2020-05-28T11:15:38.000,11.02,16.49,11.41
2020-05-28T11:30:38.000,11.06,16.43,11.47
2020-05-28T11:45:38.000,11.15,16.44,11.54
2020-05-28T12:00:38.000,11.19,16.49,11.61
2020-05-28T12:15:38.000,11.21,16.42,11.66
2020-05-28T12:30:38.000,11.22,16.44,11.71
